
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:59706        127.0.0.1:53988        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:54470        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:54775        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:54819        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:55051        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:55243        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:55262        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:55557        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:55864        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:56709        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:56816        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:56845        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:57001        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:57072        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:57386        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58103        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58302        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58341        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58408        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58531        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58542        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58725        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58756        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58758        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58780        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58788        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58812        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:58988        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:59297        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:59314        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:59366        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:59641        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:59707        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:59784        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:60085        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:60556        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:60756        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:61051        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:61730        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:61733        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:61805        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:61923        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:62022        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:62326        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:62568        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:62887        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:63143        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:63274        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:63275        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:63276        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:63277        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:63278        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:63279        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:63299        ESTABLISHED     3840
  TCP    127.0.0.1:59706        127.0.0.1:63328        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:64101        CLOSE_WAIT      3840
  TCP    127.0.0.1:59706        127.0.0.1:64899        CLOSE_WAIT      3840
  TCP    127.0.0.1:59707        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:59730        127.0.0.1:59910        ESTABLISHED     12312
  TCP    127.0.0.1:59736        127.0.0.1:59910        ESTABLISHED     4188
  TCP    127.0.0.1:59739        127.0.0.1:61975        ESTABLISHED     12312
  TCP    127.0.0.1:59784        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:59857        0.0.0.0:0              LISTENING       12312
  TCP    127.0.0.1:59857        127.0.0.1:51481        ESTABLISHED     12312
  TCP    127.0.0.1:59857        127.0.0.1:52526        TIME_WAIT       0
  TCP    127.0.0.1:59857        127.0.0.1:52551        TIME_WAIT       0
  TCP    127.0.0.1:59857        127.0.0.1:52557        TIME_WAIT       0
  TCP    127.0.0.1:59857        127.0.0.1:52700        TIME_WAIT       0
  TCP    127.0.0.1:59857        127.0.0.1:52701        TIME_WAIT       0
  TCP    127.0.0.1:59857        127.0.0.1:54765        TIME_WAIT       0
  TCP    127.0.0.1:59857        127.0.0.1:55254        TIME_WAIT       0
  TCP    127.0.0.1:59857        127.0.0.1:58778        ESTABLISHED     12312
  TCP    127.0.0.1:59857        127.0.0.1:58807        ESTABLISHED     12312
  TCP    127.0.0.1:59857        127.0.0.1:58820        TIME_WAIT       0
  TCP    127.0.0.1:59857        127.0.0.1:60763        TIME_WAIT       0
  TCP    127.0.0.1:59857        127.0.0.1:61976        ESTABLISHED     12312
  TCP    127.0.0.1:59857        127.0.0.1:63269        ESTABLISHED     12312
  TCP    127.0.0.1:59857        127.0.0.1:64716        ESTABLISHED     12312
  TCP    127.0.0.1:59857        127.0.0.1:64717        ESTABLISHED     12312
  TCP    127.0.0.1:59910        0.0.0.0:0              LISTENING       3912
  TCP    127.0.0.1:59910        127.0.0.1:59730        ESTABLISHED     3912
  TCP    127.0.0.1:59910        127.0.0.1:59736        ESTABLISHED     3912
  TCP    127.0.0.1:59911        0.0.0.0:0              LISTENING       3912
  TCP    127.0.0.1:59911        127.0.0.1:54757        TIME_WAIT       0
  TCP    127.0.0.1:59911        127.0.0.1:54770        TIME_WAIT       0
  TCP    127.0.0.1:59911        127.0.0.1:60487        TIME_WAIT       0
  TCP    127.0.0.1:60085        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:60556        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:60618        0.0.0.0:0              LISTENING       14444
  TCP    127.0.0.1:60756        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:61051        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:61218        127.0.0.1:59706        TIME_WAIT       0
  TCP    127.0.0.1:61730        127.0.0.1:59706        ESTABLISHED     11764
  TCP    127.0.0.1:61733        127.0.0.1:59706        ESTABLISHED     11764
  TCP    127.0.0.1:61788        0.0.0.0:0              LISTENING       14444
  TCP    127.0.0.1:61795        127.0.0.1:53507        ESTABLISHED     14444
  TCP    127.0.0.1:61805        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:61923        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:61975        0.0.0.0:0              LISTENING       3912
  TCP    127.0.0.1:61975        127.0.0.1:59739        ESTABLISHED     3912
  TCP    127.0.0.1:61976        127.0.0.1:59857        ESTABLISHED     3912
  TCP    127.0.0.1:62022        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:62326        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:62568        127.0.0.1:59706        ESTABLISHED     11764
  TCP    127.0.0.1:62855        127.0.0.1:59911        TIME_WAIT       0
  TCP    127.0.0.1:62887        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:63143        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:63269        127.0.0.1:59857        ESTABLISHED     3912
  TCP    127.0.0.1:63274        127.0.0.1:59706        ESTABLISHED     12312
  TCP    127.0.0.1:63275        127.0.0.1:59706        ESTABLISHED     12312
  TCP    127.0.0.1:63276        127.0.0.1:59706        ESTABLISHED     12312
  TCP    127.0.0.1:63277        127.0.0.1:59706        ESTABLISHED     12312
  TCP    127.0.0.1:63278        127.0.0.1:59706        ESTABLISHED     12312
  TCP    127.0.0.1:63279        127.0.0.1:59706        ESTABLISHED     12312
  TCP    127.0.0.1:63299        127.0.0.1:59706        ESTABLISHED     12312
  TCP    127.0.0.1:63328        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:64101        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    127.0.0.1:64218        127.0.0.1:59706        TIME_WAIT       0
  TCP    127.0.0.1:64300        127.0.0.1:59706        TIME_WAIT       0
  TCP    127.0.0.1:64716        127.0.0.1:59857        ESTABLISHED     3912
  TCP    127.0.0.1:64717        127.0.0.1:59857        ESTABLISHED     3912
  TCP    127.0.0.1:64899        127.0.0.1:59706        FIN_WAIT_2      11764
  TCP    192.168.0.2:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.0.2:49655      20.42.73.27:443        ESTABLISHED     3840
  TCP    192.168.0.2:49692      44.209.146.237:443     ESTABLISHED     14444
  TCP    192.168.0.2:49693      52.21.162.110:443      TIME_WAIT       0
  TCP    192.168.0.2:49705      52.168.112.67:443      ESTABLISHED     3840
  TCP    192.168.0.2:49709      83.185.86.41:56728     ESTABLISHED     2244
  TCP    192.168.0.2:52544      223.17.50.101:6881     ESTABLISHED     2244
  TCP    192.168.0.2:52605      13.89.178.27:443       ESTABLISHED     3840
  TCP    192.168.0.2:52651      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.2:52690      52.21.162.110:443      TIME_WAIT       0
  TCP    192.168.0.2:52735      104.208.16.92:443      ESTABLISHED     3840
  TCP    192.168.0.2:52811      52.168.112.67:443      ESTABLISHED     3840
  TCP    192.168.0.2:53996      3.161.55.49:443        ESTABLISHED     3840
  TCP    192.168.0.2:54000      78.108.102.8:6881      ESTABLISHED     2244
  TCP    192.168.0.2:54471      23.63.231.198:443      ESTABLISHED     3840
  TCP    192.168.0.2:54771      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.2:54776      52.168.112.67:443      ESTABLISHED     3840
  TCP    192.168.0.2:55244      20.42.73.27:443        ESTABLISHED     3840
  TCP    192.168.0.2:55263      104.208.16.92:443      ESTABLISHED     3840
  TCP    192.168.0.2:55654      23.63.231.204:443      ESTABLISHED     3840
  TCP    192.168.0.2:55655      23.63.231.204:443      ESTABLISHED     3840
  TCP    192.168.0.2:55656      23.63.231.204:443      ESTABLISHED     3840
  TCP    192.168.0.2:55657      23.63.231.199:443      ESTABLISHED     3840
  TCP    192.168.0.2:56073      3.161.55.111:443       ESTABLISHED     3840
  TCP    192.168.0.2:56817      204.79.197.203:443     ESTABLISHED     3840
  TCP    192.168.0.2:56823      192.56.117.14:57353    ESTABLISHED     2244
  TCP    192.168.0.2:57387      104.16.55.62:443       ESTABLISHED     3840
  TCP    192.168.0.2:58182      3.161.55.70:443        ESTABLISHED     3840
  TCP    192.168.0.2:58307      104.16.55.62:443       ESTABLISHED     3840
  TCP    192.168.0.2:58343      189.199.78.64:443      ESTABLISHED     3840
  TCP    192.168.0.2:58532      104.16.55.62:443       ESTABLISHED     3840
  TCP    192.168.0.2:58545      23.63.231.198:443      ESTABLISHED     3840
  TCP    192.168.0.2:58726      104.18.26.193:443      ESTABLISHED     3840
  TCP    192.168.0.2:58759      104.208.16.92:443      ESTABLISHED     3840
  TCP    192.168.0.2:58781      204.79.197.203:443     ESTABLISHED     3840
  TCP    192.168.0.2:58789      104.208.16.92:443      ESTABLISHED     3840
  TCP    192.168.0.2:58813      104.208.16.92:443      ESTABLISHED     3840
  TCP    192.168.0.2:58819      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.2:59487      104.16.55.62:443       ESTABLISHED     3840
  TCP    192.168.0.2:60557      104.16.55.62:443       ESTABLISHED     3840
  TCP    192.168.0.2:60757      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.2:60758      20.42.73.27:443        ESTABLISHED     3840
  TCP    192.168.0.2:62024      104.16.55.62:443       ESTABLISHED     3840
  TCP    192.168.0.2:62328      23.63.231.212:443      ESTABLISHED     3840
  TCP    192.168.0.2:62569      20.189.173.5:443       ESTABLISHED     3840
  TCP    192.168.0.2:62846      3.161.55.111:443       ESTABLISHED     3840
  TCP    192.168.0.2:63281      20.42.128.105:443      CLOSE_WAIT      3840
  TCP    192.168.0.2:63282      20.42.128.105:443      CLOSE_WAIT      3840
  TCP    192.168.0.2:63283      20.42.128.105:443      CLOSE_WAIT      3840
  TCP    192.168.0.2:63284      20.42.128.105:443      CLOSE_WAIT      3840
  TCP    192.168.0.2:63285      20.42.128.105:443      CLOSE_WAIT      3840
  TCP    192.168.0.2:63286      20.42.128.105:443      CLOSE_WAIT      3840
  TCP    192.168.0.2:63300      20.42.128.105:443      CLOSE_WAIT      3840
  TCP    192.168.0.2:64026      162.55.47.65:443       ESTABLISHED     3840
  TCP    192.168.0.2:64670      135.234.174.40:443     ESTABLISHED     11764
  TCP    [::]:135               [::]:0                 LISTENING       1172
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       6324
  TCP    [::]:49664             [::]:0                 LISTENING       1020
  TCP    [::]:49665             [::]:0                 LISTENING       844
  TCP    [::]:49666             [::]:0                 LISTENING       1944
  TCP    [::]:49667             [::]:0                 LISTENING       2012
  TCP    [::]:49668             [::]:0                 LISTENING       3256
  TCP    [::]:49676             [::]:0                 LISTENING       996
  TCP    [::]:59679             [::]:0                 LISTENING       7964
  TCP    [2806:265:406:81d2:14e9:5ba3:30a9:cfa]:6881  [::]:0                 LISTENING       2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:6881  [::]:0                 LISTENING       2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49274  [2600:1f18:631e:2f85::c024:b901]:443  ESTABLISHED     3840
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49656  [2a03:ec00:b19a:44d:fdcc:dd91:ebdf:8aee]:59786  ESTABLISHED     2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49657  [2a03:ec00:b17a:1fa0:3863:8ba:eb5e:d150]:49925  ESTABLISHED     2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49669  [2a03:ec00:b959:b9ed:2859:a804:9cf6:eff6]:45445  ESTABLISHED     2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49678  [2a03:ec00:b9aa:1393:a02a:b403:3f8:2262]:16882  ESTABLISHED     2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49685  [2a03:ec00:b192:200:fc2a:a9ed:6f5f:fd61]:6881  ESTABLISHED     2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49686  [2a03:ec00:b18c:e0d:34c4:46c3:e4cc:6ec8]:6881  ESTABLISHED     2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49687  [2a03:ec00:b1a0:31e8:7055:72b9:8d0f:a197]:1  ESTABLISHED     2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49688  [2a03:ec00:b19b:3eb8:719b:6b70:74c1:2012]:59786  ESTABLISHED     2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49689  [2a03:ec00:b19b:3358:8df1:c8a8:14b1:1b7e]:59786  ESTABLISHED     2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49690  [2603:1030:40c:e::2]:443  ESTABLISHED     3832
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49691  [2a03:ec00:b1a1:1e98:1b1:dfa9:95b7:df6d]:8171  ESTABLISHED     2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49699  [2a03:ec00:b95d:630c:24fb:6424:bb3:2c21]:27941  ESTABLISHED     2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49703  [2a03:ec00:b95b:b71a:ad18:3900:d214:e8b5]:49925  ESTABLISHED     2244
  TCP    [2806:265:406:81d2:35f9:5e3e:e268:d829]:49707  [2a03:ec00:b9a0:2fd8:347f:7af6:2a19:ceb8]:16033  ESTABLISHED     2244
